equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2942,NULL,NULL,45,R-00E185,"JD245G EXCAVATOR (Performance",FHM,NULL,NULL,1,NULL,eb0ffa53-1039-4a68-bb18-2885a16eae09
2943,NULL,NULL,45,R-00E185,"JD245G EXCAVATOR (Performance",1O,NULL,NULL,1,NULL,6bb87882-a5fa-4d19-bc9c-c73862b796e6
2944,NULL,NULL,45,R-00E193,"JD300G EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,5cebded7-da1b-4b8b-8bdd-70dfec487a6a
2945,NULL,NULL,45,R-00E186,"JD300G EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,c8063690-df8c-49ae-911b-9067c615cd31
2946,NULL,NULL,45,R-00E170,"JD245G ZERO SWING EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,ba8fb528-040a-4299-a615-0625187fab88
2947,NULL,NULL,45,R-00E193,"JD300G EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,12aa074d-bdf6-4b38-bb81-310694af27bf
2948,NULL,NULL,45,R-00E193,"JD300G EXCAVATOR (Performance)",8M,NULL,NULL,1,NULL,6f51e034-7cd5-4c05-b080-a26be46523ae
2949,NULL,NULL,45,R-00E186,"JD300G EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,1f7583db-e66b-479c-a6d8-4f3aa6aa30ec
2950,NULL,NULL,45,R-00E208,"JOHN DEERE 350G EXCAVATOR W/ MUNCHER (Performance EQ)",1M,NULL,NULL,1,NULL,ce2a75c8-a61e-46f9-a08a-2181e75ac778
2951,NULL,NULL,45,R-00E218,"JOHN DEERE 225DX LC",1O,NULL,NULL,1,NULL,5ab4d211-6f4c-42c3-a84d-d3c0bc7732cd
2952,NULL,NULL,45,R-00E226,"JD135G EXCAVATOR (Performance)",8D,NULL,NULL,1,NULL,399ac3ec-1512-4ba7-bddc-ac608cebb3c6
2953,NULL,NULL,45,R-00E218,"JOHN DEERE 225DX LC",1M,NULL,NULL,1,NULL,8ffa014e-f5d0-411f-bd1f-d6a7ebfdd12a
2954,NULL,NULL,45,R-00E225,"JOHN DEERE 245G",1M,NULL,NULL,1,NULL,56b4e21e-f241-45f3-ad0e-be120f498fd9
2955,NULL,NULL,45,R-00E208,"JOHN DEERE 350G EXCAVATOR W/ MUNCHER (Performance EQ)",1O,NULL,NULL,1,NULL,7cf7da58-aad9-4609-882a-07a7f3260cd0
2956,NULL,NULL,45,R-00E193,"JD300G EXCAVATOR (Performance)",8D,NULL,NULL,1,NULL,7670cafc-2c26-4e6c-8212-a035b17faf8c
2957,NULL,NULL,45,R-00E214,"CAT330 CL w/ Processor (Performance)",1O,NULL,NULL,1,NULL,3b6be9d9-bb39-4f88-84d0-6ff75255d5c6
2958,NULL,NULL,45,R-00E214,"CAT330 CL w/ Processor (Performance)",8D,NULL,NULL,1,NULL,458a9277-77b0-413c-bbf4-232e63d35b2e
2959,NULL,NULL,45,R-00E214,"CAT330 CL w/ Processor (Performance)",1M,NULL,NULL,1,NULL,54442129-07bb-4c11-803c-ad3d5322433f
2960,NULL,NULL,45,R-00E243,"HITACHI ZX350LC-6 EXC (Performance)",1M,NULL,NULL,1,NULL,968cda10-a716-4c12-a1cd-a472df58f8e8
2961,NULL,NULL,45,R-00E225,"JOHN DEERE 245G",FHM,NULL,NULL,1,NULL,f2041b2b-98e8-46f2-8302-f528ced334ca
2962,NULL,NULL,45,R-00E226,"JD135G EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,c951ce7f-f211-4237-86be-de18bb874086
2963,NULL,NULL,45,R-00E214,"CAT330 CL w/ Processor (Performance)",8M,NULL,NULL,1,NULL,6c0c8a18-e144-4542-814a-9a8765d8c3d2
2964,NULL,NULL,45,R-00E225,"JOHN DEERE 245G",8D,NULL,NULL,1,NULL,0a2b2f5f-c16e-4cae-befa-7f76e80bb892
2965,NULL,NULL,45,R-00E226,"JD135G EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,f3247635-c622-4e00-a098-0b10e978b448
2966,NULL,NULL,45,R-00E219,"HYNDAI HX145LCR Excavator (Performance)",1M,NULL,NULL,1,NULL,008f8e05-43b7-438f-a5cb-5e09acaf7674
2967,NULL,NULL,45,R-00E235,"HITACHI ZX245LC EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,1c42715f-8d24-4576-8415-a2d30444fa42
2968,NULL,NULL,45,R-00E208,"JOHN DEERE 350G EXCAVATOR W/ MUNCHER (Performance EQ)",FHM,NULL,NULL,1,NULL,9d529bc9-e3cc-4572-ac46-bc0709afacba
2969,NULL,NULL,45,R-00E243,"HITACHI ZX350LC-6 EXC (Performance)",FHM,NULL,NULL,1,NULL,63a160b7-74da-48a2-9e6e-34b0635566c7
2970,NULL,NULL,45,R-00E225,"JOHN DEERE 245G",8M,NULL,NULL,1,NULL,6478bb9e-7aca-4359-bf0a-6e7da6a9980a
2971,NULL,NULL,45,R-00E243,"HITACHI ZX350LC-6 EXC (Performance)",1O,NULL,NULL,1,NULL,81c81a38-e787-40c4-8cfe-4c07b6c2c965
2972,NULL,NULL,45,R-00E233,"HITACHI ZX470LC-5B EXC (Performance)",1M,NULL,NULL,1,NULL,bfc0b382-d50a-448c-bdf4-a4f8f0aa9728
2973,NULL,NULL,45,R-00E250,"JD870G EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,a0321ec5-eaba-4a99-a028-8ffc1d8d4075
2974,NULL,NULL,45,R-00E235,"HITACHI ZX245LC EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,00ebc44b-b63a-4bda-b1cc-a139af796a76
2975,NULL,NULL,45,R-00E185,"JD245G EXCAVATOR (Performance",1M,NULL,NULL,1,NULL,ce080cf9-a6e1-425b-9c0f-9a61cdac1dd9
2976,NULL,NULL,45,R-00E226,"JD135G EXCAVATOR (Performance)",8M,NULL,NULL,1,NULL,f49e18f1-6ac4-4c95-9d83-e58fa56061c3
2977,NULL,NULL,45,R-00E248,"HITICHI ZX245USLC EXC (Performance)",FHM,NULL,NULL,1,NULL,9dc87fa4-b76f-4dc4-9dfb-a6b08dff53a0
2978,NULL,NULL,45,R-00E207,"JOHN DEERE 135G EXCAVATOR (Performance Eq) OFF RENT 6/4/21",8D,NULL,NULL,1,NULL,5ad5176d-86b4-45f0-a0c0-f495f0243925
2979,NULL,NULL,45,R-00E219,"HYNDAI HX145LCR Excavator (Performance)",1O,NULL,NULL,1,NULL,ab5985f6-908a-4028-a243-78195bda3118
2980,NULL,NULL,45,R-00E233,"HITACHI ZX470LC-5B EXC (Performance)",1O,NULL,NULL,1,NULL,d0ce21f7-8866-4f78-bcb6-db32bd393952
